dialog_id	rec_survey_id	seek_survey_id	fine_label	coarse_label	movie_id
20191129-044536_702_live.pkl	first_batch_429	first_batch_429	accept_uninterested	reject_new	-c2kXQGdfdoSPLIT139
20191130-124605_342_live.pkl	first_batch_575	first_batch_575	accept_rating_mod	accept_new	JF2ja-xS1C0SPLIT55
20191205-183323_130_live.pkl	first_batch_46	first_batch_46	accept_rating_good	accept_new	XT6g_7HZdU8SPLIT154
20191204-054238_930_live.pkl	first_batch_163	first_batch_163	accept_rating_good	accept_new	ee1172yeqyESPLIT156
20191128-210044_693_live.pkl	first_batch_605	first_batch_605	accept_uninterested	reject_new	70UY9X7qhE0SPLIT71
20191202-105103_525_live.pkl	first_batch_201	first_batch_201	accept_rating_good	accept_new	DzfpyUB60YYSPLIT153
20191203-191049_990_live.pkl	first_batch_147	first_batch_148	accept_rating_good	accept_new	rgXplohCw5oSPLIT155
20191201-134224_996_live.pkl	first_batch_676	first_batch_675	accept_uninterested	reject_new	r6v3eOMrTIsSPLIT125
20191204-060845_114_live.pkl	first_batch_165	first_batch_165	accept_others	accept_new	dCz30g0azGkSPLIT71
20200220-100900_41_live.pkl	first_batch_302	first_batch_302	accept_others	accept_new	XpLKNclOtLgSPLIT106
20191209-055712_509_live.pkl	first_batch_465	first_batch_465	accept_rating_good	accept_new	DzfpyUB60YYSPLIT153
20191205-115559_551_live.pkl	first_batch_705	first_batch_705	accept_rating_good	accept_new	MneQ4hAwsBISPLIT192
20200220-103600_636_live.pkl	first_batch_311	first_batch_312	accept_rating_good	accept_new	sE6fTeuKZkgSPLIT71
20191126-201440_957_live.pkl	first_batch_599	first_batch_599	accept_rating_good	accept_new	ni4tEtuTcccSPLIT117
20191202-100321_519_live.pkl	first_batch_191	first_batch_191	accept_uninterested	reject_new	rgXplohCw5oSPLIT155
20200221-183808_732_live.pkl	first_batch_720	first_batch_720	accept_rating_good	accept_new	SRVzyiM8SgoSPLIT145
20191205-180940_632_live.pkl	first_batch_45	first_batch_45	accept_rating_good	accept_new	_EpH1zU-NIUSPLIT133
20200221-131658_313_live.pkl	first_batch_402	first_batch_402	accept_rating_good	accept_new	uMIsXdoj2vUSPLIT162
20191128-135657_527_live.pkl	first_batch_32	first_batch_32	accept_rating_good	accept_new	PN2F9-u4m3USPLIT79
20191205-224226_89_live.pkl	first_batch_52	first_batch_52	accept_others	accept_new	XT6g_7HZdU8SPLIT154
20191203-142904_603_live.pkl	first_batch_123	first_batch_123	accept_rating_mod	accept_new	dtKMEAXyPkgSPLIT163
20191207-134204_43_live.pkl	first_batch_421	first_batch_421	accept_rating_good	accept_new	Fk9YjlZmAEUSPLIT94
20191204-073509_995_live.pkl	first_batch_170	first_batch_170	accept_rating_good	accept_new	nY9F7DMOoGMSPLIT154
