rec_survey_id	role	recommender_id	familiar_with_movie	knowledgeable	age_group	gender	race	degree	job	marital_status	political_view	religion	seeker_id	date
first_batch_0	RECOMMENDER	user_0	Agree	Agree	18 - 24	Female	Hispanic/Latino	Associate Degree	University Student	Never been married	Liberal	Atheist	user_1	2019-11-29 11:31:00.659806
first_batch_1	RECOMMENDER	user_2	Strongly agree	Strongly agree	35 - 44	Female	African	High School/GED	Employed	Never been married	Liberal	Atheist	user_3	2019-11-29 11:44:29.859838
first_batch_2	RECOMMENDER	user_4	Strongly agree	Strongly agree	35 - 44	Female	Caucasian	High School/GED	Employed	Married	Conservative	Atheist	user_5	2019-11-29 11:50:39.221438
first_batch_3	RECOMMENDER	user_6	Strongly agree	Agree	55 - 74	Female	African	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_7	2019-11-29 11:58:58.211656
first_batch_5	RECOMMENDER	user_8	Agree	Agree	35 - 44	Male	Caucasian	Vocational Training	Employed	Never been married	Liberal	Atheist	user_9	2019-11-29 12:03:08.981205
first_batch_6	RECOMMENDER	user_10	Disagree	Disagree	45 - 54	Female	Caucasian	High School/GED	Employed	Divorced	Conservative	Roman Catholic	user_11	2019-11-29 12:03:44.103785
first_batch_7	RECOMMENDER	user_0	Strongly agree	Strongly agree	18 - 24	Female	Hispanic/Latino	Associate Degree	University Student	Never been married	Liberal	Atheist	user_12	2019-11-29 12:33:39.807725
first_batch_8	RECOMMENDER	user_13	Strongly agree	Strongly agree	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Conservative	Other	user_14	2019-11-29 12:40:18.607412
first_batch_9	RECOMMENDER	user_15	Strongly agree	Strongly agree	35 - 44	Male	Hispanic/Latino	Associate Degree	Employed	Living with partner	Moderate	Protestant	user_16	2019-11-29 12:41:06.129704
first_batch_10	RECOMMENDER	user_17	Agree	Agree	35 - 44	Male	African	Bachelor/4-year Degree	Employed	Married	Liberal	Atheist	user_18	2019-11-29 12:53:08.117754
first_batch_11	RECOMMENDER	user_19	Strongly agree	Strongly agree	18 - 24	Female	Caucasian	High School/GED	Homemaker	Married	Moderate	Other	user_20	2019-11-29 13:17:28.964985
first_batch_12	RECOMMENDER	user_21	Strongly agree	Strongly agree	25 - 34	Female	African	Bachelor/4-year Degree	University Student	Married	Liberal	Protestant	user_8	2019-11-29 13:34:24.930613
first_batch_13	RECOMMENDER	user_22	Strongly agree	Strongly agree	25 - 34	Male	Caucasian	High School/GED	University Student	Never been married	Moderate	Protestant	user_23	2019-11-29 13:48:37.450964
first_batch_14	RECOMMENDER	user_24	Strongly agree	Strongly agree	35 - 44	Female	African	High School/GED	Homemaker	Married	Moderate	Other	user_25	2019-11-29 13:51:13.547977
first_batch_15	RECOMMENDER	user_26	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Bachelor/4-year Degree	University Student	Never been married	Moderate	Other	user_27	2019-11-29 13:53:35.063020
first_batch_16	RECOMMENDER	user_28	Agree	Agree	45 - 54	Male	Caucasian	Associate Degree	Retired	Never been married	Conservative	Protestant	user_29	2019-11-29 13:55:25.622982
first_batch_17	RECOMMENDER	user_30	Agree	Agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	University Student	Never been married	Liberal	Atheist	user_31	2019-11-29 14:11:45.842409
first_batch_18	RECOMMENDER	user_32	Strongly agree	Strongly agree	35 - 44	Male	South Asian	Bachelor/4-year Degree	Employed	Married	Moderate	Buddhist	user_33	2019-11-29 14:13:54.657279
first_batch_19	RECOMMENDER	user_34	Agree	Agree	18 - 24	Female	Caucasian	Bachelor/4-year Degree	University Student	Never been married	Liberal	Roman Catholic	user_35	2019-11-29 14:19:18.807313
first_batch_20	RECOMMENDER	user_36	Strongly agree	Strongly agree	35 - 44	Male	Hispanic/Latino	High School/GED	Employed	Married	Conservative	Roman Catholic	user_37	2019-11-29 14:38:17.764097
first_batch_21	RECOMMENDER	user_38	Strongly agree	Strongly agree	45 - 54	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Protestant	user_39	2019-11-29 14:39:44.150692
first_batch_22	RECOMMENDER	user_26	Strongly agree	Strongly agree	18 - 24	Male	Caucasian	Bachelor/4-year Degree	University Student	Never been married	Moderate	Other	user_40	2019-11-29 15:04:49.088453
first_batch_23	RECOMMENDER	user_6	Strongly agree	Strongly agree	55 - 74	Female	African	Bachelor/4-year Degree	Employed	Married	Liberal	Protestant	user_26	2019-11-29 15:48:38.363282
first_batch_24	RECOMMENDER	user_41	Agree	Agree	18 - 24	Male	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Jewish	user_42	2019-11-29 16:01:59.410256
first_batch_25	RECOMMENDER	user_43	Agree	Agree	18 - 24	Female	Caucasian	High School/GED	University Student	Never been married	Liberal	Atheist	user_44	2019-11-28 11:08:27.657840
first_batch_26	RECOMMENDER	user_0	Strongly agree	Strongly agree	18 - 24	Female	Hispanic/Latino	Associate Degree	University Student	Never been married	Liberal	Atheist	user_45	2019-11-28 11:12:59.112034
first_batch_27	RECOMMENDER	user_46	Strongly agree	Strongly agree	25 - 34	Male	Hispanic/Latino	No Degree	Employed	Married	Liberal	Protestant	user_47	2019-11-28 11:14:25.460852
