seeker_survey_id	role	seeker_id	case	reason	age_group	gender	race	degree	job	marital_status	political_view	religion	recommender_id	date
first_batch_1	SEEKER	user_1	accept_rating_good	my son has always loved toy story	35 - 44	Female	Caucasian	Associate Degree	Employed	Never been married	Moderate	Other	user_0	2019-11-29 11:34:31.595888
first_batch_2	SEEKER	user_3	accept_uninterested	Sequel to the movie the Shining. I like Ewan MacGregor a lot he's a good actor.	25 - 34	Female	Caucasian	Professional Postgraduate Degree (Medical, Law, etc)	Employed	Never been married	Moderate	Atheist	user_2	2019-11-29 11:46:15.342228
first_batch_3	SEEKER	user_5	accept_rating_good	The different role that Sandler plays in the movie and it is in the drama and comedy genre which are my favorites.	55 - 74	Female	Caucasian	Associate Degree	Employed	Divorced	Moderate	Protestant	user_4	2019-11-29 11:57:57.574610
first_batch_4	SEEKER	user_7	accept_others	the movie type was fitting my need	25 - 34	Male	Other	on	Employed	Never been married	Liberal	Jewish	user_6	2019-11-29 12:01:49.134777
first_batch_7	SEEKER	user_9	accept_uninterested	A comedy staring one of out favorite actors	55 - 74	Female	Caucasian	Bachelor/4-year Degree	Employed	Married	Moderate	Protestant	user_8	2019-11-29 12:06:19.428209
first_batch_6	SEEKER	user_11	accept_rating_good	It's a modern horror movie that relies on psychological horror rather than gore or jump scares.	18 - 24	Female	Caucasian	No Degree	University Student	Never been married	Liberal	Atheist	user_10	2019-11-29 12:05:34.100201
first_batch_8	SEEKER	user_12	accept_others	I enjoyed the Dark Knight films	35 - 44	Male	Caucasian	Bachelor/4-year Degree	Employed	on	Liberal	Atheist	user_0	2019-11-29 12:36:12.351666
first_batch_9	SEEKER	user_14	accept_others	I think that the characters are relatable and the plot matches the kind of movies that i like.	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Homemaker	Married	Conservative	Mormon	user_13	2019-11-29 12:42:37.328475
first_batch_10	SEEKER	user_16	accept_rating_good	very scary and suspenceful	45 - 54	Female	Caucasian	Associate Degree	Employed	Divorced	Moderate	Roman Catholic	user_15	2019-11-29 12:44:38.273075
first_batch_11	SEEKER	user_18	accept_rating_good	12 Years Slave has more details about how slaves were treated	25 - 34	Male	Other	Bachelor/4-year Degree	Employed	Never been married	Conservative	Roman Catholic	user_17	2019-11-29 13:03:20.117104
first_batch_12	SEEKER	user_20	accept_others	frozen	25 - 34	Female	Southeast Asian	on	University Student	on	Moderate	Protestant	user_19	2019-11-29 13:17:54.405842
first_batch_13	SEEKER	user_8	accept_rating_good	it sounds like a great movie	35 - 44	Male	Caucasian	Vocational Training	Employed	Never been married	Liberal	Atheist	user_21	2019-11-29 13:38:23.707616
first_batch_14	SEEKER	user_23	accept_rating_good	I love terminator movies	25 - 34	Female	African	High School/GED	Employed	Married	Liberal	Other	user_22	2019-11-29 13:54:45.026796
first_batch_17	SEEKER	user_25	accept_rating_good	The plot was very interesting and I enjoyed the main actor in the movie!	18 - 24	Male	Hispanic/Latino	Bachelor/4-year Degree	Employed	Living with partner	Moderate	Roman Catholic	user_24	2019-11-29 14:01:06.778190
first_batch_15	SEEKER	user_27	accept_uninterested	i am familiar with the characters of the movie and I like them. i wanted a superhero movie with some romance but the recommendation was perfect for what I wanted	35 - 44	Female	African	Bachelor/4-year Degree	Non-university student	Never been married	Conservative	Protestant	user_26	2019-11-29 13:57:29.886486
first_batch_16	SEEKER	user_29	accept_uninterested	state of the art and realistic	25 - 34	Male	Caucasian	High School/GED	Unable to Work	Never been married	Liberal	Other	user_28	2019-11-29 13:58:52.170451
first_batch_19	SEEKER	user_31	accept_rating_good	I saw the film and loved it! I wanted to watch the trailer again and remember parts of the film. I thought it was a perfect recommendation for me based on what we discussed, and if I hadn't seen the film I definitely would have been interested to.	18 - 24	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Liberal	Other	user_30	2019-11-29 14:16:02.850163
first_batch_18	SEEKER	user_33	accept_uninterested	It sounded funny.	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Homemaker	Married	Conservative	Protestant	user_32	2019-11-29 14:14:58.257586
first_batch_20	SEEKER	user_35	accept_rating_good	It's part of the Marvel Universe and matched my genre interest.	45 - 54	Female	Caucasian	on	Employed	Married	Moderate	Other	user_34	2019-11-29 14:22:17.597053
first_batch_21	SEEKER	user_37	accept_rating_good	I like rom coms, and I like movies with Emma Thompson. She adds sophistication to everything.	25 - 34	Female	Caucasian	on	Employed	Married	Conservative	Protestant	user_36	2019-11-29 14:43:28.257618
first_batch_22	SEEKER	user_39	accept_others	I like the action in the preview..it looks like a fun movie.	35 - 44	Male	Caucasian	High School/GED	Employed	Married	Liberal	Atheist	user_38	2019-11-29 14:44:20.387441
first_batch_23	SEEKER	user_40	accept_others	The actors and plot to the movie. It looks like a thrilling, action-packed movie. 	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Never been married	Conservative	Protestant	user_26	2019-11-29 15:08:00.492516
first_batch_24	SEEKER	user_26	accept_uninterested	Interesting plot.	18 - 24	Male	Caucasian	Bachelor/4-year Degree	University Student	Never been married	Moderate	Other	user_6	2019-11-29 15:53:00.573957
first_batch_25	SEEKER	user_42	accept_others	The fact that my partner likes me and that's why he is recommending it to me	25 - 34	Female	Caucasian	Bachelor/4-year Degree	Employed	Divorced	Liberal	Roman Catholic	user_41	2019-11-29 16:08:10.498962
first_batch_26	SEEKER	user_44	accept_uninterested	Did not like the concept 	25 - 34	Female	East Asian	on	University Student	on	Moderate	Protestant	user_43	2019-11-28 11:10:39.284585
