seeker_survey_id	role	seeker_id	case	competent	confident	efficient	knowledgeable	warm	agreable	trustworthy	sincere	engaging	persuasive	natural	rich_vocab	creative	pressure_me	manipulative	boring	recommender_id
first_batch_1	SEEKER	user_1	accept_rating_good	Neither agree nor disagree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Agree	Agree	Neither agree nor disagree	Agree	Agree	Neither agree nor disagree	Agree	Agree	user_0
first_batch_2	SEEKER	user_3	accept_uninterested	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	user_2
first_batch_3	SEEKER	user_5	accept_rating_good	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Disagree	Disagree	Strongly disagree	user_4
first_batch_4	SEEKER	user_7	accept_others	Agree	Agree	Agree	Strongly agree	Agree	Agree	Strongly disagree	Disagree	Agree	Agree	Agree	Agree	Agree	Strongly disagree	Strongly disagree	Disagree	user_6
first_batch_7	SEEKER	user_9	accept_uninterested	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Agree	Agree	Neither agree nor disagree	Disagree	Disagree	Neither agree nor disagree	user_8
first_batch_6	SEEKER	user_11	accept_rating_good	Strongly agree	Strongly agree	Disagree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Agree	Agree	Strongly agree	Agree	Strongly agree	Strongly disagree	Strongly disagree	Neither agree nor disagree	user_10
first_batch_8	SEEKER	user_12	accept_others	Agree	Agree	Agree	Strongly agree	Strongly agree	Strongly agree	Agree	Strongly agree	Strongly agree	Agree	Strongly agree	Agree	Agree	Disagree	Disagree	Disagree	user_0
first_batch_9	SEEKER	user_14	accept_others	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Strongly agree	Agree	Agree	Disagree	Disagree	Disagree	user_13
first_batch_10	SEEKER	user_16	accept_rating_good	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Agree	Disagree	Disagree	Disagree	user_15
first_batch_11	SEEKER	user_18	accept_rating_good	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Strongly agree	Neither agree nor disagree	Strongly agree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	Neither agree nor disagree	user_17
